[2026-09-01 17:33:36.243887] CPU_SPIKE | proc=chrome.exe pid=19212 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=17.7% is z=7.7 above its own baseline (avg 0.4%)
[2026-09-01 17:33:36.243887] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 94 simultaneous network connections
[2026-09-01 17:33:36.243887] MEMORY_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=1472MB is z=6.9 above its own baseline (avg 131MB)
[2026-09-01 17:33:54.312384] HIGH_CONNECTION_COUNT | proc=System Idle Process pid=0 exe= | 193 simultaneous network connections
[2026-09-01 17:33:54.312384] CPU_SPIKE | proc=csrss.exe pid=900 exe=C:\Windows\System32\csrss.exe | cpu=5.6% is z=4.2 above its own baseline (avg 0.9%)
[2026-09-01 17:33:54.312384] CPU_SPIKE | proc=chrome.exe pid=1980 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=29.9% is z=12.2 above its own baseline (avg 0.4%)
[2026-09-01 17:33:54.312384] MEMORY_SPIKE | proc=chrome.exe pid=4652 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=820MB is z=3.6 above its own baseline (avg 131MB)
[2026-09-01 17:33:54.312384] MEMORY_SPIKE | proc=svchost.exe pid=5408 exe=C:\Windows\System32\svchost.exe | mem=37MB is z=3.3 above its own baseline (avg 12MB)
[2026-09-01 17:33:54.312384] MEMORY_SPIKE | proc=svchost.exe pid=5416 exe=C:\Windows\System32\svchost.exe | mem=39MB is z=3.5 above its own baseline (avg 12MB)
[2026-09-01 17:33:54.312384] MEMORY_SPIKE | proc=svchost.exe pid=7900 exe=C:\Windows\System32\svchost.exe | mem=36MB is z=3.1 above its own baseline (avg 12MB)
[2026-09-01 17:33:54.312384] MEMORY_SPIKE | proc=svchost.exe pid=8060 exe=C:\Windows\System32\svchost.exe | mem=35MB is z=3.0 above its own baseline (avg 12MB)
[2026-09-01 17:33:54.312384] MEMORY_SPIKE | proc=chrome.exe pid=16476 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | mem=770MB is z=3.3 above its own baseline (avg 131MB)
[2026-09-01 17:33:54.312384] CPU_SPIKE | proc=chrome.exe pid=19024 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=15.1% is z=6.1 above its own baseline (avg 0.4%)
[2026-09-01 17:33:54.312384] HIGH_CONNECTION_COUNT | proc=chrome.exe pid=19220 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | 120 simultaneous network connections
[2026-09-01 17:33:54.312384] CPU_SPIKE | proc=chrome.exe pid=26144 exe=C:\Program Files\Google\Chrome\Application\chrome.exe | cpu=10.0% is z=4.0 above its own baseline (avg 0.4%)
